BioProject Accession,BioProject Accession: PRJNA1047084
ID,ID: 1047084
,
Title,94. BCG vaccination impacts the epigenetic landscape of progenitor cells in human bone marrow (scRNA-Seq)
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1045667
ID,ID: 1045667
,
Title,95. Single-cell transcriptome of PBMC response to Omicron breakthrough infection
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1044775
ID,ID: 1044775
,
Title,96. Enrichment and analysis of circular RNA by Induro RT-mediated circRNA sequencing (IMCR-seq)
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1043189
ID,ID: 1043189
,
Title,97. Non-classical CD45RBlo memory B-cells are the majority of circulating antigen-specific B-cells following mRNA vaccination and COVID-19 infection.
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1038765
ID,ID: 1038765
,
Title,98. Blood transcriptome profiling reveals distinct gene networks induced by mRNA vaccination against COVID-19
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1037486
ID,ID: 1037486
,
Title,99. Distinct baseline immune characteristics associated with responses to conjugated and unconjugated pneumococcal polysaccharide vaccines in older adults [bulk RNA-seq]
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1037045
ID,ID: 1037045
,
Title,100. Distinct baseline immune characteristics associated with responses to conjugated and unconjugated pneumococcal polysaccharide vaccines in older adults [scRNA-seq]
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1037044
ID,ID: 1037044
,
,
Title,101. Systems biology analysis reveals distinct molecular signatures promoting immune responsiveness to the BNT162b COVID-19 vaccine [scRNA-seq]
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1035131
ID,ID: 1035131
,
Title,102. Single-cell immune profiling reveals markers of emergency myelopoiesis that distinguish severe from mild respiratory syncytial virus (RSV) disease in infants
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1033996
ID,ID: 1033996
,
Title,103. T cell responses in SARS-CoV-2 vaccinees with sustained or declined antibody titer
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1033588
ID,ID: 1033588
,
Title,104. Systems biology analysis reveals distinct molecular signatures promoting immune responsiveness to the BNT162b COVID-19 vaccine [bulk RNA-seq]
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1033573
ID,ID: 1033573
,
Title,105. AS01-adjuvanted vaccine promotes functional and epigenetic modifications in monocytes [RNA-seq]
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1024914
ID,ID: 1024914
,
Title,106. AS01-adjuvanted vaccine promotes functional and epigenetic modifications in monocytes [scRNA-seq]
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1024905
ID,ID: 1024905
,
Title,107. Single-cell sequencing of 12 PBMC samples to study the different immune response after SARS-CoV-2 vaccines injection
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1021596
ID,ID: 1021596
,
Title,108. Longitudinal gene expression profiling of self-collected blood samples in COVID-19+ and healthy participants
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1017864
ID,ID: 1017864
,
Title,"109. Multi-target mode of action of Sulfodyne, a stabilized Sulforaphane, against pathogenic effects of SARS-CoV-2 infection"
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1017503
ID,ID: 1017503
,
Title,110. Determinants of de novo B cell responses to drifted epitopes in post-vaccination SARS-CoV-2 infections data
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1014484
ID,ID: 1014484
,
Title,111. Global blood miRNA profiling unravels early signatures of immunogenicity of Ebola vaccine rVSVΔG-ZEBOV-GP
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1011984
ID,ID: 1011984
,
Title,112. Cryptosporidium infection of human small intestinal epithelial cells induces type III interferon expression and impairs the infectivity of live-attenuated rotavirus vaccines [hALI_Cp]
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1008720
ID,ID: 1008720
,
Title,113. Cryptosporidium infection of human small intestinal epithelial cells induces type III interferon expression and impairs the infectivity of live-attenuated rotavirus vaccines [hALI_Ch]
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1008719
ID,ID: 1008719
,
Title,114. Decidual-tissue resident memory T cells protect against nonprimary human cytomegalovirus infection at the maternal-fetal interface
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1005972
ID,ID: 1005972
,
Title,115. A Replicative Recombinant HPV16 E7 Expression virus upregulates CD36 in C33A cells
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1005193
ID,ID: 1005193
,
Title,116. Long-term effects of Omicron BA.2 breakthrough infection on immunity-metabolism balance: a 6-month prospective study
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1004627
ID,ID: 1004627
,
Title,117. Global blood miRNA profiling unravels early signatures of immunogenicity of Ebola vaccine rVSVΔG-ZEBOV-GP
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1004251
ID,ID: 1004251
,
Title,118. The TLR8 agonist Selgantolimod regulates Kupffer cell differentiation status and indirectly impairs HBV entry into hepatocytes via an IL-6-dependent mechanism (PHH) [Liver]
Organism,Organism: Homo sapiens (Taxonomy ID 9606)
BioProject Accession,BioProject Accession: PRJNA1004185
ID,ID: 1004185
,
Title,119. The TLR8 agonist Selgantolimod regulates Kupffer cell differentiation status and indirectly impairs HBV entry into hepatocytes via an IL-6-dependent mechanism (PHH) [Kupffer cells]
