title,organism,bio_project_accession,id
Engineered Antibody Cytokine Chimera Synergizes with DNA-Launched Nanoparticle Vaccines to Potentiate Suppression of Melanoma Proliferation in vivo,Mus musculus (10090),PRJNA669688,669688
Subunit vaccine elicited lung TRM cells use fibroblast IL-17R signaling to provide serotype independent immunity against hypervirulent K. pneumoniae,Mus musculus (10090),PRJNA661089,661089
Mechanisms of interleukin 4 mediated increase in efficacy of vaccines against opioid use disorders.,Mus musculus (10090),PRJNA660259,660259
gene expression of aorta of ApoE KO mice after Gpnmb vaccine treatment,Mus musculus (10090),PRJNA650406,650406
A single-dose intranasal vaccination elicits systemic and mucosal immunity against SARS-CoV-2,Mus musculus (10090),PRJNA650199,650199
Dengue specific immunoglobulin repertoires comparison between the repeated and epitope-decreased immunizations,Mus musculus (10090),PRJNA645965,645965
scRNA-seq of murine effector CD8 T cells in response to local vaccination,Mus musculus (10090),PRJNA638892,638892
"Generation of a Broadly Useful Model for COVID-19 Pathogenesis, Vaccination, and Treatment",Mus musculus (10090),PRJNA633852,633852
Transcriptome analysis of synovial osteoprogenitor populations in mice with antigen-induced arthritis and non-immunized mice,Mus musculus (10090),PRJNA623319,623319
Tcf1 and Lef1 regulate follicular helper T cell function eliciated by vaccination [RNA-Seq],Mus musculus (10090),PRJNA610569,610569
Transcriptional responses in muscle of pregnant mouse upon immunization,Mus musculus (10090),PRJNA603074,603074
Respiratory syncytial virus (RSV) F subunit vaccine with adjuvants affect immunity in BALB/c mice,Mus musculus (10090),PRJNA601122,601122
Transcriptome response of lung in response to vaccination of inactivated whole cells of A. baumannii,Mus musculus (10090),PRJNA594534,594534
Transcriptomic analysis of naïve B cells and antigen-specific activated B cells and plasma cells from 4dpi NP-LPS immunized mice [NPLPS_PC],Mus musculus (10090),PRJNA593427,593427
Impact of metformin treatment on CD8 in non and BCG-vaccinated mice,Mus musculus (10090),PRJNA587714,587714
Preventative and therapeutic effect of ∆pep27 intranasal vaccine in DSS-induced colitis,Mus musculus (10090),PRJNA587617,587617
Comparison of whole blood transcriptional changes induced by menignoccocal capsular group B vaccines in mice,Mus musculus (10090),PRJNA580190,580190
Comparative genome-wide analysis of whole skin from mice vaccinated with E7SH/ISG15-ΔGG versus E7SH/EV,Mus musculus (10090),PRJNA579926,579926
Transcriptome analysis on OVA-GA(10) immunized GA-CFP mice,Mus musculus (10090),PRJNA575764,575764
RNA-seq of CD4+ T cell subsets in KLH-gp61 immunization,Mus musculus (10090),PRJNA564588,564588
Germline-Encoded Affinity for Cognate Antigen Enables Vaccine Amplification of a Human Broadly Neutralizing Response Against Influenza Virus,Mus musculus (10090),PRJNA559930,559930
Whole genome profiling of murine lymphocytes and statistical validation of a panel of immune molecules to predict vaccine efficacy against Mycobacterium tuberculosis,Mus musculus (10090),PRJNA559380,559380
Study of visceral leishmaniasis establishment - Gene expression from (un)infected (non-)vaccinated mouse spleen samples,Mus musculus (10090),PRJNA556008,556008
Specific targeting of IL-1β activity to CD8+ T cells allows for safe use as a vaccine adjuvant,Mus musculus (10090),PRJNA555995,555995
Cytokine and receptor expression in skin draining lymph nodes after skin immunization,Mus musculus (10090),PRJNA551459,551459
CARD9-associated Dectin-1 and Dectin-2 are Required for Protective Immunity of a Multivalent Vaccine Against Coccidioides posadasii Infection,Mus musculus (10090),PRJNA550079,550079
Comparative transcriptomics between species to assess the immune mechanisms underlying the increased reactogenicity of the four component meningococcal capsular group B vaccine when given concomitantly with routinely-administered vaccines,Mus musculus (10090),PRJNA546495,546495
"Comparative transcriptomics between species attributes reactogenicity pathways induced by the capsular group B meningococcal vaccine, 4CMenB, to the membrane-bound endotoxin of its outer membrane vesicle component.",Mus musculus (10090),PRJNA545310,545310
Gene expression comparison of splenic virus-specific CD8 T cells after immunization with LCMV vector and treatment with IgG or aIFNAR1,Mus musculus (10090),PRJNA532908,532908
Vaccination accelerates hepatic erythropoiesis induced by blood-stage malaria,Mus musculus (10090),PRJNA530224,530224
Intranasal immunization with CpG-B Oligodeoxynucleotides protects CBA mice from lethal equine herpesvirus 1 challenge,Mus musculus (10090),PRJNA523387,523387
Analysis of murine neonatal Germinal Center (GC) B cells transcriptome (RNA-Seq) following HA/CAF01 immunization in the presence or absence of maternal antibodies,Mus musculus (10090),PRJNA518898,518898
RNA-sequencing of NALT from mouse after intranasal immunization with B. abortus rMDH loaded chitosan nanoparticles (CNs),Mus musculus (10090),PRJNA517469,517469
"Whole-transcriptome profiling of LCMV.GP66-77 specific CD4 T cells isolated from bone marrow (BM) and spleen, 60 days after last immunization [RNA-seq]",Mus musculus (10090),PRJNA513500,513500
"IL-12 From Endogenous cDC1, and Not Vaccine DC, Is Required for Th1 Induction",Mus musculus (10090),PRJNA513047,513047
Transcriptome of  draining lymph nodes from the mice immunized with RABV,Mus musculus (10090),PRJNA505824,505824
Transcriptome analysis of Brucella abortus S19∆per (a perosaminesynthetase gene mutant of strain S19)  immunized mice spleen revealed activation of MHC-I and MHC-II pathways,Mus musculus (10090),PRJNA495392,495392
Identification of Biomarkers of Vaccine Reactogenicity,Mus musculus (10090),PRJNA494386,494386
Trancriptional profile of WT and Notch2 cDC2s after immunization with SRBC,Mus musculus (10090),PRJNA488601,488601
IL-27 in vaccine elicited cellular immunity,Mus musculus (10090),PRJNA449508,449508
Gene expression in Listeria- or vaccine-elicited T cells,Mus musculus (10090),PRJNA448893,448893
Gene expression of liver of vaccination-protected mice in response to early patent infections of Plasmodium chabaudi blood-stage malaria,Mus musculus (10090),PRJNA435948,435948
"Transcription profiles of fate mapped IL17aiCre+flox/stop/flox-YFP+ TH17 cells, CD44intCD27+ TH17 cells and CD44hiCD27- TH17 cells from WT or Raptor-ko (flox/flox) mice after immunization with Myelin Oligodendrocyte Glycoprotein (MOG)",Mus musculus (10090),PRJNA420445,420445
NK cell regulation of T cells following LCMV infection of vaccinated and unvaccinated mice,Mus musculus (10090),PRJNA419062,419062
Comparative transcriptome analysis of murine macrophages infected with Brucella suis vaccine strain S2 and the virulent Brucella suis strain 1330,Mus musculus (10090),PRJNA415479,415479
Modeling of the Response to a Multiple Vaccination Schedule Using the Adjuvant Neisseria meningitidis Porin B,Mus musculus (10090),PRJNA412385,412385
Spleen transcriptional profiling of Mus musculus BALB/c strain after DNA vaccination against influenza H5N1,Mus musculus (10090),PRJNA395345,395345
Altered infant T cell differentiation in infection or vaccination reduces lung tissue-resident memory generation,Mus musculus (10090),PRJNA395219,395219
Characterizing the innate and adaptive responses of immunized mice to Bordetella pertussis infection using in vivo imaging and transcriptomics analyses,Mus musculus (10090),PRJNA394758,394758
CXCR3 signaling is required for restricted homing of parenteral TB vaccine-induced T cells to both the lung parenchyma and airway,Mus musculus (10090),PRJNA391259,391259
Expression data from draining lymph node of mice immunized with AS01 or its components,Mus musculus (10090),PRJNA384711,384711
Effect of immunization co-stimuli on transcriptome of mouse splenic IgM− B220lo CD138+ plasma cells,Mus musculus (10090),PRJNA381006,381006
Gene expression analysis in naïve and vaccine (peptide vs. DC) primed pmel-1 CD8 Tcells,Mus musculus (10090),PRJNA371429,371429
High-throughput sequencing after immunization with pep27 mutant,Mus musculus (10090),PRJNA362195,362195
Expression data from bone marrow derived DCs stimulated with different peptide-based nanovaccine formulations against L. infantum infection,Mus musculus (10090),PRJNA358682,358682
Gene expression in the brains of different strains of laboratory mice upon intranasal infection with vaccine strain (TC83) of Venezuelan equine encephalitis virus,Mus musculus (10090),PRJNA356823,356823
Microarray analysis of innate immune response induced by immunization with the adjuvant QS-21 in lymph node and muscle in mice.,Mus musculus (10090),PRJNA356243,356243
Organism-level analysis of vaccination reveals networks of protection across tissues,Mus musculus (10090),PRJNA355404,355404
Effect of immunization co-stimuli on transcriptome of mouse splenic IgG1+ germinal center B cells,Mus musculus (10090),PRJNA352913,352913
"Advax, a delta inulin microparticle, potentiates in-built adjuvant property of co-administered vaccines",Mus musculus (10090),PRJNA350829,350829
Organism-level analysis of vaccination reveals networks of protection across tissues,Mus musculus (10090),PRJNA345545,345545
Transcriptomic profiling of mice receiving immunoprophylactic and immunotherapeutic hypoallergen-encoding DNA vaccine,Mus musculus (10090),PRJNA342672,342672
Molecular signatures of clinically tested vaccine adjuvants,Mus musculus (10090),PRJNA338195,338195
rSm-p80 Mice Vaccination Time Points,Mus musculus (10090),PRJNA331192,331192
rSm-p80 Vaccination Time Points,Mus musculus (10090),PRJNA328505,328505
Effect of vaccine administration routes on responses to a Bordetella pertussis outer membrane vesicle vaccine - lymph nodes,Mus musculus (10090),PRJNA326478,326478
Effect of vaccine administration routes on responses to a Bordetella pertussis outer membrane vesicle vaccine - lung,Mus musculus (10090),PRJNA326474,326474
Immunization with Attenuated Equine Herpesvirus 1 Strain KyA Induces Innate Immune Responses that Protect Mice from Lethal Challenge,Mus musculus (10090),PRJNA320903,320903
Gene expression data from OVA-immunized WT and Rptor-/- follicular regulatory T cells,Mus musculus (10090),PRJNA312896,312896
Expression data from CD8 memory T cells after IN immunization compared to IM immunization,Mus musculus (10090),PRJNA310146,310146
Deletion of nuoG in recombinant BCG vaccine against TB,Mus musculus (10090),PRJNA299622,299622
Gene expression in brain tissue from MOG-immunized wild-type or C57BL/6Je/e mice at disease maximum.,Mus musculus (10090),PRJNA297368,297368
Adenoviral vector vaccination induces a conserved program of CD8+ T cell memory differentiation in mouse and man,Mus musculus (10090),PRJNA296685,296685
Immediate dysfunction of vaccine-elicited CD8+ T cells primed in the absence of CD4+ T cells,Mus musculus (10090),PRJNA295965,295965
Transcriptional dysregulation of inflammatory/immune pathways after active vaccination against Huntington’s disease,Mus musculus (10090),PRJNA292125,292125
Splenic gene expression profile of mice immunized with an anti-Fasciola hepatica vaccine candidate: insights into the immunological mechanisms leading to protection,Mus musculus (10090),PRJNA285982,285982
Ten day time course of effect of influenza vaccination on gene expression profiles of PBMC and circulating B cells in mice,Mus musculus (10090),PRJNA283896,283896
Ten day time course of effect of influenza vaccination on gene expression profiles of lymph node cells (unselected cells and B cells) in mice,Mus musculus (10090),PRJNA283895,283895
Ten day time course of effect of influenza vaccination on gene expression profiles of spleen cells (unselected cells and B cells) in mice,Mus musculus (10090),PRJNA283894,283894
Early dendritic cell molecular signature modelling predicts late vaccine-induced adaptive T-cell responses (Codelink),Mus musculus (10090),PRJNA278649,278649
Early dendritic cell molecular signature modelling predicts late vaccine-induced adaptive T-cell responses (Illumina),Mus musculus (10090),PRJNA278648,278648
"Effect of Antigen, Type I IFN and STING Signaling on CD8 T Cell Immunity With Adenoviral Vaccines",Mus musculus (10090),PRJNA271285,271285
Rescue of CD8+ T cell vaccine memory in mice following sublethal g radiation exposure,Mus musculus (10090),PRJNA271035,271035
Vaccine-Elicited CD4 T Cells Induce Immunopathology Following Chronic LCMV Infection,Mus musculus (10090),PRJNA269164,269164
Mechanisms of protection of a novel murine cytomegalovirus vaccine vector against Mycobacterium tuberculosis,Mus musculus (10090),PRJNA246717,246717
mRNA expression profiles of antigen-specific CD8+ T cells induced by DNA prime-DNA boost and DNA prime-VACV boost immunization regimen,Mus musculus (10090),PRJNA225605,225605
Gene Expression Analysis of Host Immune Responses in the UV inactivated SARS-CoV-immunized mice following Lethal SARS-CoV Infection,Mus musculus (10090),PRJNA189277,189277
"Studies in a murine B16 melanoma model show that persistent antigen at vaccination sites induces CD8+ T cell sequestration, dysfunction and deletion",Mus musculus (10090),PRJNA188175,188175
Expression of genes in the spleen of WT and MUC1.Tg mice immunized with dendritic cells loaded with MUC1 peptide,Mus musculus (10090),PRJNA186608,186608
MOG-encoding DNA vaccines ameliorate EAE and display neuroprotective effects in treated mice summary,Mus musculus (10090),PRJNA143471,143471
Genome-wide analysis of gene expression in lymph nodes and vaccination site in mice vaccinated with adenovirus and MVA mixed formulations,Mus musculus (10090),PRJNA143357,143357
Expression data from DC-induced Hopx-deficient and sufficient regulatory T cells after immunization,Mus musculus (10090),PRJNA131557,131557
To compare the expression profile of CD8 T cells from mice vaccinated with Ad85A via the intranasal (IN) or intradermal (ID) routes isolated from lungs or spleen.,Mus musculus (10090),PRJNA130877,130877
Mycobacterium bovis-BCG vaccination induces a specific pulmonary transcriptome biosignature in mice,Mus musculus (10090),PRJNA126627,126627
"Skin Electrovaccination: Effects on Transgene Expression, DNA Persistence and Local Tissue Environment",Mus musculus (10090),PRJNA119287,119287
Expression data from spleens of mice immunized using LPS vs MPL as adjuvant.,Mus musculus (10090),PRJNA99785,99785
Expression data from immunized B10.BR mice,Mus musculus (10090),PRJNA99381,99381
Gene expression profiles in gastric mucosa from a transgenic mice infected with H. pylori and immunized with BabA,Mus musculus (10090),PRJNA96295,96295
