title,organism,bio_project_accession,id
"RK-33, a small molecule inhibitor of host RNA helicase DDX3, suppresses multiple variants of SARS-CoV-2",Homo sapiens (9606),PRJNA862501,862501
Immune metabolic interplay drives the protective antibody response pre-vaccination with Dengue virus Vaccine,Homo sapiens (9606),PRJNA862372,862372
Early suppression of antiviral host response and protocadherins by SARS-CoV-2 Spike protein in monocyte-derived macrophages,Homo sapiens (9606),PRJNA859179,859179
Identification of host dependency factors shared by multiple SARS-CoV-2 variants of concern,Homo sapiens (9606),PRJNA857902,857902
Predicting seasonal influenza vaccine response using systemic gene expression profiling,Homo sapiens (9606),PRJNA857010,857010
Next Generation Sequencing of hormone receptor-positive and triple negative primary breast cancer tumors,Homo sapiens (9606),PRJNA852282,852282
Differential Immune Transcriptomic Profiles between Vaccinated and Resolved HCV Reinfected Subjects,Homo sapiens (9606),PRJNA850425,850425
Augmenting SARS-CoV-2 vaccine induced spike protein-specific CD4+ T cell responses through IL-1β and its receptors.,Homo sapiens (9606),PRJNA849284,849284
Transcriptomes analysis of COVID-19 Inactivated Vaccine and Protein Subunit Vaccine as Third Booster Dose in Human,Homo sapiens (9606),PRJNA848805,848805
"Small molecule RIG-I agonist serves to adjuvant broad, multifaceted influenza virus vaccine immunity",Homo sapiens (9606),PRJNA848665,848665
Brucellosis Vaccine Ag85a-S2 activates cGAS-Sting Signaling Pathway in Intestinal Mucosal Cells,Homo sapiens (9606),PRJNA847591,847591
"SARS-CoV-2 mRNA Dual Immunization Induces Innate Transcriptional Signatures, Establishes T-Cell Memory and Coordinates the Response to Booster",Homo sapiens (9606),PRJNA844974,844974
Young infants display heterogeneous serological responses and extensive but reversible transcriptional changes following initial immunizations,Homo sapiens (9606),PRJNA842002,842002
Homo sapiens Transcriptome or Gene expression,Homo sapiens (9606),PRJNA838986,838986
Single-Cell RNA Sequencing to Decipher the Immunogenicity of ChAdOx1 nCoV-19/AZD1222 and mRNA-1273 Vaccines in Patients with Autoimmune Rheumatic Diseases,Homo sapiens (9606),PRJNA838497,838497
Antigen-specific CD8 T cells against SARS-CoV-2,Homo sapiens (9606),PRJNA835151,835151
"Impact of two and three dose COVID-19 vaccination schedule on transcriptional, humoral and T cell immune response in previously heavily treated, single agent treated and naïve CLL patients",Homo sapiens (9606),PRJNA832479,832479
Heterologous ChAdOx1-BNT162b2 vaccination in a Korean cohort induces a robust genetic immune and antibody response that includes Omicron [RNA_seq],Homo sapiens (9606),PRJNA832139,832139
Heterologous ChAdOx1-BNT162b2 vaccination in a Korean cohort induces a robust genetic immune and antibody response that includes Omicron [scRNA-seq],Homo sapiens (9606),PRJNA832138,832138
Prior vaccination exceeds prior infection in eliciting innate and humoral immune responses in Omicron infected outpatients,Homo sapiens (9606),PRJNA832132,832132
Genome-wide CRISPR Knockout Screen Identified PLAC8 as an Essential Factor for SADS-CoVs Infection,Homo sapiens (9606),PRJNA827806,827806
Next generation sequencing transcriptome analysis of patient-derived macrophages after SARS-CoV-2 mRNA vaccination,Homo sapiens (9606),PRJNA823920,823920
Gene dysregulation in acute HIV-1 infection – early transcriptomic analysis reveals the crucial biological functions affected,Homo sapiens (9606),PRJNA821976,821976
COVID-19 Vaccine Immune Responses Study (COVIRS),Homo sapiens (9606),PRJNA821445,821445
Single cell RNAseq reveal covid19 vaccine response difference,Homo sapiens (9606),PRJNA818538,818538
Immune transcriptome in adult-onset Still’s disease with mild flare following administration of mRNA vaccine BNT162b2,Homo sapiens (9606),PRJNA815866,815866
Antibiotics and Immune Responses study,Homo sapiens (9606),PRJNA814322,814322
Impact of an Immune Modulator Mycobacterium-w on Adaptive Natural Killer Cells and Protection Against COVID-19,Homo sapiens (9606),PRJNA813159,813159
Multi-omics analyses of changes in the tumor microenvironment of pancreatic adenocarcinoma following neoadjuvant treatment with anti-PD-1 antibody,Homo sapiens (9606),PRJNA811185,811185
Single cell transcriptical changes in major trauma patient,Homo sapiens (9606),PRJNA810736,810736
Transcriptional signatures to AS01-adjuvanted tuberculosis vaccine in naïve and primed participants,Homo sapiens (9606),PRJNA810173,810173
Blood transcriptional profiles distinguish different clinical stages of cutaneous leishmaniasis in humans,Homo sapiens (9606),PRJNA809389,809389
Transcriptome analysis of umbilical cord blood CD34+ cells of neonates delivered from SARS-CoV-2 infected and/or vaccinated mothers,Homo sapiens (9606),PRJNA807340,807340
The impact of physical frailty on the response to inactivated influenza vaccine in older adults,Homo sapiens (9606),PRJNA807309,807309
Human papillomavirus 42 is an oncogenic driver in Digital Papillary Adenocarcinoma [tumors],Homo sapiens (9606),PRJNA803909,803909
Human papillomavirus 42 is an oncogenic driver in Digital Papillary Adenocarcinoma [transductions],Homo sapiens (9606),PRJNA803908,803908
Human papillomavirus 42 is an oncogenic driver in Digital Papillary Adenocarcinoma [full_genomes],Homo sapiens (9606),PRJNA803907,803907
"T-cell immunogenicity, gene expression profile and safety of four heterologous prime-boost combinations of HIV vaccine candidates in healthy volunteers – results of the randomized multi-arm phase I/II ANRS VRI01 trial",Homo sapiens (9606),PRJNA803522,803522
Immune response to RSV in preterm and term infants,Homo sapiens (9606),PRJNA803454,803454
"Safety, immunogenicity, and efficacy of the IV PfSPZ Vac in Tanzania (BSPZV1)",Homo sapiens (9606),PRJNA803436,803436
Immunopeptidomic analyses of colorectal cancers with and without microsatellite instability,Homo sapiens (9606),PRJNA802838,802838
Transcriptional profiles in human milk and whole blood after live attenuated and inactivated influenza vaccination,Homo sapiens (9606),PRJNA802214,802214
Transcriptomic analysis of Tdap-IPV whole blood immune responses,Homo sapiens (9606),PRJNA801600,801600
Transcriptomic analysis whole blood single innate immune cells for analysis of of Tdap-IPV immune responses,Homo sapiens (9606),PRJNA801598,801598
Transcriptional profiling of human cardiomyocytes and endothelial cells derived from NOTCH1 knockout induced pluripotent stem cells (iPSCs),Homo sapiens (9606),PRJNA801248,801248
Influenza vaccination reveals sex dimorphic imprints of prior mild COVID-19 [RNA-Seq],Homo sapiens (9606),PRJNA800394,800394
SARS-CoV-2 diverges from other betacoronaviruses in only partially activating the IRE1a/XBP1 ER stress pathway in human lung-derived cells,Homo sapiens (9606),PRJNA795179,795179
IL-4 receptor blockade is a global repressor of naïve B cell development and responses in a dupilumab-treated patient,Homo sapiens (9606),PRJNA794777,794777
Phase 1 Trial With Challenge to Assess the Safety and Biomarkers of Protection in Malaria-naive Adults of Immunization Via Mosquito Bite With Radiation-Attenuated Plasmodium Falciparum Sporozoites (IMRAS) - Day 31-126,Homo sapiens (9606),PRJNA793034,793034
Phase 1 Trial With Challenge to Assess the Safety and Biomarkers of Protection in Malaria-naive Adults of Immunization Via Mosquito Bite With Radiation-Attenuated Plasmodium Falciparum Sporozoites (IMRAS) - Day 140-147,Homo sapiens (9606),PRJNA793032,793032
What goes around comes around: artificial circular RNAs bypass cellular antiviral responses,Homo sapiens (9606),PRJNA792569,792569
CITE-Seq analysis of total PBMC pre- and post-PfSPZ vaccination in the IMRAS trial,Homo sapiens (9606),PRJNA790992,790992
Comprehensive comparison of adaptive immune response by inactivated SARS-CoV-2 vaccine between young and old [RNA-seq],Homo sapiens (9606),PRJNA789645,789645
"Aerosol delivery, but not intramuscular injection, of adenovirus-vectored tuberculosis vaccine induces respiratory-mucosal immunity in humans",Homo sapiens (9606),PRJNA788632,788632
mRNA vaccination in octogenarian nuns 15 and 20 months after recovery from COVID-19 elicits robust immune and antibody responses that include Omicron,Homo sapiens (9606),PRJNA788374,788374
Immune transcriptome analysis of COVID-19 patients infected with SARS-CoV-2 variants carrying the E484K escape mutation identifies a distinct gene module,Homo sapiens (9606),PRJNA787951,787951
Transcriptomes of SARS-CoV-2 naïve and recovered individuals vaccinated with inactivated vaccine,Homo sapiens (9606),PRJNA782306,782306
Prior BNT162b vaccination enhances interferon-JAK-STAT regulated antiviral programs in hospitalized COVID-19 patients infected with the SARS-CoV-2 Beta variant,Homo sapiens (9606),PRJNA781246,781246
A new tractable method for generating Human Alveolar Macrophage Like cells in vitro to study lung inflammatory processes and diseases,Homo sapiens (9606),PRJNA780877,780877
Next Generation Sequencing Facilitates Quantitative Analysis of Transcriptomes and TCR repertoire in vaccinated PBMCs and tumors,Homo sapiens (9606),PRJNA779706,779706
Differential gene expression in peripheral blood mononuclear cells from children immunized with inactivated influenza vaccine,Homo sapiens (9606),PRJNA771687,771687
Differential effect of SARS-CoV-2 spike glycoprotein 1 on human bronchial and alveolar lung mucosa models: Implications on pathogenicity.,Homo sapiens (9606),PRJNA770335,770335
single cell transcriptomics and B-cell repertoire data from one vaccinated individual after Boostrix vaccination,Homo sapiens (9606),PRJNA769087,769087
Gender and prior exposure shape innate immune responses to a replication-defective herpes virus vaccine,Homo sapiens (9606),PRJNA768792,768792
IFN-α kinoid in systemic lupus erythematosus: Affymetrix Data,Homo sapiens (9606),PRJNA767451,767451
PBMC Gene expression of participants in the kick and kill clinical trial BCN02,Homo sapiens (9606),PRJNA765581,765581
Single-cell transcriptomic profiles reveal changes associated with BCG-induced trained immunity and protective effects in circulating monocytes,Homo sapiens (9606),PRJNA763786,763786
Fatal enhanced respiratory syncytial virus disease in toddlers,Homo sapiens (9606),PRJNA760778,760778
﻿Enteroaggregative E. coli Adherence to Human Heparan Sulfate Proteoglycans Drives Segment and Host Specific Responses to Infection,Homo sapiens (9606),PRJNA756246,756246
Transcriptomic profiling of human peripheral blood samples collected three days or two weeks after the primary RV144 ALVAC/gp120 vaccine series,Homo sapiens (9606),PRJNA753877,753877
HIV infection drives interferon signaling within intestinal SARS-CoV-2 susceptible target cells,Homo sapiens (9606),PRJNA753794,753794
Transcriptional profiling of HIV-negative participants before and after vaccination with an DNA/rAd5 vaccine.,Homo sapiens (9606),PRJNA753724,753724
Cytotoxic CD4+ tissue-resident memory T cells are associated with asthma severity [single-cell RNA-seq],Homo sapiens (9606),PRJNA753084,753084
Cytotoxic CD4+ tissue-resident memory T cells are associated with asthma severity [bulk RNA-seq],Homo sapiens (9606),PRJNA753082,753082
Targeting the tumor mutanome for personalized vaccination in lung cancer,Homo sapiens (9606),PRJNA745456,745456
Targeting human langerin promotes HIV-1 specific humoral immune responses,Homo sapiens (9606),PRJNA744094,744094
PD-1 directed immunotherapy alters Tfh and humoral immune responses to seasonal flu vaccine,Homo sapiens (9606),PRJNA743946,743946
RNA-Seq analysis of human blood and bone marrow antibody secreting cell subsets,Homo sapiens (9606),PRJNA740340,740340
"Rapid, scalable assessment of SARS-CoV-2 cellular immunity by whole-blood PCR",Homo sapiens (9606),PRJNA740323,740323
Single-cell transcriptomic analyses of T cells in chronic HCV-infected patients dominated by DAA-induced interferon signaling changes,Homo sapiens (9606),PRJNA740293,740293
Molecular signatures of aging and flu vaccine response in Healthy and HIV infected individuals,Homo sapiens (9606),PRJNA739986,739986
Transcriptome analysis of the host immune responses to Sarcoptes scabiei,Homo sapiens (9606),PRJNA739662,739662
Transcriptomic analysis of Hsp90 inhibitor (Hsp90i)-treated HIV-infected pediatric tonsillar mononuclear cells,Homo sapiens (9606),PRJNA737514,737514
RNA-sequencing of Influenza A.Cali09 specific CD4+ T cells from healthy UK adults,Homo sapiens (9606),PRJNA736304,736304
RNA seq analysis of human monocyte subsets in healthy and dengue subjects,Homo sapiens (9606),PRJNA734850,734850
BioVacSafe (Biomarkers for enhanced vaccine immunosafety) Influenza challenge,Homo sapiens (9606),PRJNA732702,732702
BNT162b2 vaccination enhances interferon-JAK-STAT-regulated antiviral programs in COVID-19 patients infected with the SARS-CoV-2 Beta variant,Homo sapiens (9606),PRJNA730810,730810
Next generation sequencing transcriptome analysis of patient-derived macrophages stimulated with SARS-CoV-2 protein,Homo sapiens (9606),PRJNA725825,725825
Blood transcriptomes of anti-SARS-CoV2 antibody  positive healthy individuals with prior  asymptomatic versus clinical infection,Homo sapiens (9606),PRJNA725183,725183
CITE-seq of 6 patients treated with the Pfizer BioNTech BNT162b2 mRNA vaccine,Homo sapiens (9606),PRJNA721461,721461
RNA microarray-based comparision of innate immune phenotypes between human macrophages stimulated with two BCG strains,Homo sapiens (9606),PRJNA721454,721454
