title,organism,bio_project_accession,id
Comparative transcriptomes reveal pro-survival and cytotoxic programs of mucosal-associated invariant T cells upon Bacillus Calmette–Guérin stimulation,Homo sapiens (9606),PRJNA948021,948021
Human immune and gut microbial parameters associated with inter-individual variations in BNT162b2 mRNA vaccine-induced adaptive immunity,Homo sapiens (9606),PRJDB14085,947829
Human immune and gut microbial parameters associated with inter-individual variations in BNT162b2 mRNA vaccine-induced adaptive immunity,Homo sapiens (9606),PRJDB14078,947828
RNA-seq and ATAC-seq of healthy donors treated with BNT162b2 mRNA vaccine,Homo sapiens (9606),PRJDB14366,946951
B cell convergence to distinct broadly reactive epitopes following vaccination with chimeric influenza virus hemagglutinins,Homo sapiens (9606),PRJNA940845,940845
Anionic pulmonary surfactant lipid treatment inhibits rhinovirus A infection of the human airway epithelium,Homo sapiens (9606),PRJNA938464,938464
Rubella virus infection in endothelial cells reduces angiogenesis via interferon betainduced CXCL10,Homo sapiens (9606),PRJNA938090,938090
Assessing chromatin accessibility in human classical monocytes following vaccination with mRNA and adenoviral vectored COVID-19 vaccines,Homo sapiens (9606),PRJNA934283,934283
Identification and Validation of Frameshift Neoantigens for Mismatch-Repair Deficient Lynch Syndrome,Homo sapiens (9606),PRJNA932241,932241
Aminobisphosphonates reactivate the latent reservoir in people living with HIV-1,Homo sapiens (9606),PRJNA931626,931626
Uncovering the spatial landscape of molecular interactions within the tumor microenvironment through latent spaces,Homo sapiens (9606),PRJNA930887,930887
Single cell RNA sequencing of distal thrombus tissue from CTEPH patients,Homo sapiens (9606),PRJNA929967,929967
Distinct gene expression signatures comparing latent tuberculosis infection with different routes of Bacillus Calmette-Guérin vaccination [blood],Homo sapiens (9606),PRJNA929494,929494
Intradermal skin test with mRNA vaccines as a surrogate marker of T cell immunity in immunosuppressed patients,Homo sapiens (9606),PRJNA929449,929449
Early Transcriptional Responses to Human Paratyphoid Challenge,Homo sapiens (9606),PRJNA929287,929287
Distinct gene expression signatures comparing latent tuberculosis infection with different routes of Bacillus Calmette-Guérin vaccination,Homo sapiens (9606),PRJNA929281,929281
Transcriptional profiling of immunity to the MF-59 – adjuvanted influenza vaccine in children,Homo sapiens (9606),PRJNA925650,925650
Cytotoxic T cells targeting spike glycoprotein are associated with hybrid immunity to SARS-CoV-2,Homo sapiens (9606),PRJNA925441,925441
"Genome-wide gene expression profiling  of macrophages treated with novel 1,2,4-oxadiazole scaffold-based compounds",Homo sapiens (9606),PRJNA922037,922037
Intra-tumoral T cells in pediatric brain tumors display clonal expansion and effector properties,Homo sapiens (9606),PRJNA915988,915988
"Class switch towards non-inflammatory, spike-specific IgG4 antibodies after repeated SARS-CoV-2 mRNA vaccination [CITE-Seq]",Homo sapiens (9606),PRJNA913899,913899
"Class switch towards non-inflammatory, spike-specific IgG4 antibodies after repeated SARS-CoV-2 mRNA vaccination [scRNA-Seq]",Homo sapiens (9606),PRJNA913893,913893
Time-series transcriptome analysis of peripheral blood mononuclear cells obtained from individuals who received the SARS-CoV-2 mRNA vaccine,Homo sapiens (9606),PRJNA910999,910999
Stratification of expression profiles of immune-related genes in the lesion of cutaneous leishmaniasis patients with L. major and L. tropica infection,Homo sapiens (9606),PRJNA909614,909614
Tracking B Cell Responses to the SARS-CoV-2 mRNA-1273 Vaccine,Homo sapiens (9606),PRJNA907025,907025
Increased Antibody Titers but Induced T-Cell AICD and Apoptosis Response in COVID-19 Convalescents by Inactivated Vaccine Booster,Homo sapiens (9606),PRJNA907006,907006
CHIKV VLP Vaccination in Humans induced broadly neutralizing antibodies,Homo sapiens (9606),PRJNA905836,905836
Neonatal CD4+ T cells have a characteristic transcriptome and epigenome and respond to TCR stimulation with proliferation and yet a limited immune response,Homo sapiens (9606),PRJNA902425,902425
Oligoclonal CD4+CXCR5+ T cells with a cytotoxic phenotype in tonsils and blood,Homo sapiens (9606),PRJNA902388,902388
A TLR7-nanoparticle adjuvant promotes broad immune  responses against heterologous strains of Influenza and SARS-CoV-2,Homo sapiens (9606),PRJNA901401,901401
"Infectivity, pathogenicity, and immune protection of the pangolin-origin SARS-CoV-2 related coronavirus",Homo sapiens (9606),PRJNA900563,900563
Transcriptome signatures preceding the induction of anti-stalk antibodies elicited by a chimeric hemagglutinin-based universal influenza virus vaccine,Homo sapiens (9606),PRJNA900301,900301
Molecular correlates of vaccine-induced protection against typhoid fever,Homo sapiens (9606),PRJNA899913,899913
Augmenting vaccine efficacy against delta variant with ‘Mycobacterium-w’ mediated modulation of NK-ADCC and TLR-MYD88 pathways,Homo sapiens (9606),PRJNA895436,895436
Molecular signatures of anthroponotic cutaneous leishmaniasis in the lesions of patients infected with Leishmania tropica,Homo sapiens (9606),PRJNA894549,894549
Reprogramming Cancer into Antigen Presenting Cells as a Novel Immunotherapy [human],Homo sapiens (9606),PRJNA894212,894212
Organoid modeling of lung-intrinsic immune responses to SARS-CoV-2 infection,Homo sapiens (9606),PRJNA891766,891766
Identification of four immune subtypes in locally advanced rectal cancer treated with neoadjuvant chemotherapy for predicting the efficacy of subsequent immune checkpoint blockade,Homo sapiens (9606),PRJNA880566,880566
Zeb2 drives the formation of CD11c+ atypical B cells to sustain germinal centers that control persistent infection [CITE-seq and scRNA-seq],Homo sapiens (9606),PRJNA879721,879721
Genetic engineered primary human natural killer cells targeting TIGIT via CRISPR/Cas9 enhanced anti-tumor activity against GBM spheroids and 2D culture.,Homo sapiens (9606),PRJNA878498,878498
Perturbations in the T cell receptor β repertoire during malaria infection in children: a preliminary study.,Homo sapiens (9606),PRJNA877836,877836
Host Saliva RNA Responses to COVID-19 Infection,Homo sapiens (9606),PRJNA874439,874439
RNA-seq  analysis of functionally distinct HLADR+CD38+ CD8 T cells from acute dengue febrile patients,Homo sapiens (9606),PRJNA873677,873677
Global microRNA and protein expression in human term placenta.,Homo sapiens (9606),PRJNA872129,872129
"Transcription profiling of PfSPZ Vaccine trial subjects (US, malaria naïve) receiving a 3-dose or 5-dose regimen",Homo sapiens (9606),PRJNA871225,871225
Transcription profiling of PfSPZ Malaria Vaccine trial subjects receiving a 3-dose regimen in a malaria endemic region,Homo sapiens (9606),PRJNA871032,871032
Distinct immunological and molecular signatures predict influenza vaccine responsiveness in the elderly (scRNA Seq),Homo sapiens (9606),PRJNA870906,870906
Distinct immunological and molecular signatures predict influenza vaccine responsiveness in the elderly,Homo sapiens (9606),PRJNA870045,870045
Four cases of death from systemic immune response syndrome after COVID-19 vaccination,Homo sapiens (9606),PRJDB12990,868949
"T cell differentiation, lineage commitment and plasticity in cancer: a  multi-dimensional approach from the molecular mechanism to the patients",Homo sapiens (9606),PRJNA868573,868573
Simultaneous inhibition of PPAR-γ and mTORC1 enables GM-CSF to induce the differentiation of monocytes into highly immunogenic dendritic cells,Homo sapiens (9606),PRJNA868345,868345
Response to mRNA vaccine BNT162b2 in hemodialysis patients,Homo sapiens (9606),PRJNA863278,863278
