geo_sample,subject_id,sex,treatment,tissue,timepoint,animal_replicate,strain,condition
GSM3407329,TriFLU_MLN_4h_4,Female,Agrippal,draining medial iliac lymph nodes (MLN),4,4,CB6F1,Agrippal_4_draining medial iliac lymph nodes (MLN)
GSM3407330,TriFLU_MLN_4h_5,Female,Agrippal,draining medial iliac lymph nodes (MLN),4,5,CB6F1,Agrippal_4_draining medial iliac lymph nodes (MLN)
GSM3407331,TriFLU-MF59_MLN_4h_1,Female,Fluad,draining medial iliac lymph nodes (MLN),4,1,CB6F1,Fluad_4_draining medial iliac lymph nodes (MLN)
GSM3407332,TriFLU-MF59_MLN_4h_2,Female,Fluad,draining medial iliac lymph nodes (MLN),4,2,CB6F1,Fluad_4_draining medial iliac lymph nodes (MLN)
GSM3407333,TriFLU-MF59_MLN_4h_3,Female,Fluad,draining medial iliac lymph nodes (MLN),4,3,CB6F1,Fluad_4_draining medial iliac lymph nodes (MLN)
GSM3407334,TriFLU-MF59_MLN_4h_4,Female,Fluad,draining medial iliac lymph nodes (MLN),4,4,CB6F1,Fluad_4_draining medial iliac lymph nodes (MLN)
GSM3407335,TriFLU-MF59_MLN_4h_5,Female,Fluad,draining medial iliac lymph nodes (MLN),4,5,CB6F1,Fluad_4_draining medial iliac lymph nodes (MLN)
GSM3407336,ENG_MU_4h_1,Female,Engerix B,muscle,4,1,CB6F1,Engerix B_4_muscle
GSM3407337,ENG_MU_4h_2,Female,Engerix B,muscle,4,2,CB6F1,Engerix B_4_muscle
GSM3407338,ENG_MU_4h_3,Female,Engerix B,muscle,4,3,CB6F1,Engerix B_4_muscle
GSM3407339,ENG_MU_4h_4,Female,Engerix B,muscle,4,4,CB6F1,Engerix B_4_muscle
GSM3407340,ENG_MU_4h_5,Female,Engerix B,muscle,4,5,CB6F1,Engerix B_4_muscle
GSM3407341,IFA_MU_4h_1,Female,IFA,muscle,4,1,CB6F1,IFA_4_muscle
GSM3407342,IFA_MU_4h_2,Female,IFA,muscle,4,2,CB6F1,IFA_4_muscle
GSM3407343,IFA_MU_4h_3,Female,IFA,muscle,4,3,CB6F1,IFA_4_muscle
GSM3407344,IFA_MU_4h_4,Female,IFA,muscle,4,4,CB6F1,IFA_4_muscle
