Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL16644,"NimbleGen human 42M CGH array, 25 of 60 [2007-05-18_HG18_Sanger_CGH_25]","in situ oligonucleotide","Homo sapiens",716840,1,2,"Andy Pang","Feb 12, 2013"
GPL16645,"NimbleGen human 42M CGH array, 26 of 60 [2007-05-18_HG18_Sanger_CGH_26]","in situ oligonucleotide","Homo sapiens",688586,1,2,"Andy Pang","Feb 12, 2013"
GPL16646,"NimbleGen human 42M CGH array, 27 of 60 [2007-05-18_HG18_Sanger_CGH_27]","in situ oligonucleotide","Homo sapiens",716750,1,2,"Andy Pang","Feb 12, 2013"
GPL16647,"NimbleGen human 42M CGH array, 28 of 60 [2007-05-18_HG18_Sanger_CGH_28]","in situ oligonucleotide","Homo sapiens",716788,1,2,"Andy Pang","Feb 12, 2013"
GPL16648,"NimbleGen human 42M CGH array, 29 of 60 [2007-05-18_HG18_Sanger_CGH_29]","in situ oligonucleotide","Homo sapiens",709655,1,2,"Andy Pang","Feb 12, 2013"
GPL16649,"NimbleGen human 42M CGH array, 30 of 60 [2007-05-18_HG18_Sanger_CGH_30]","in situ oligonucleotide","Homo sapiens",716756,1,2,"Andy Pang","Feb 12, 2013"
GPL16650,"NimbleGen human 42M CGH array, 31 of 60 [2007-05-18_HG18_Sanger_CGH_31]","in situ oligonucleotide","Homo sapiens",716833,1,2,"Andy Pang","Feb 12, 2013"
GPL16651,"NimbleGen human 42M CGH array, 32 of 60 [2007-05-18_HG18_Sanger_CGH_32]","in situ oligonucleotide","Homo sapiens",710020,1,2,"Andy Pang","Feb 12, 2013"
GPL16652,"NimbleGen human 42M CGH array, 33 of 60 [2007-05-18_HG18_Sanger_CGH_33]","in situ oligonucleotide","Homo sapiens",716807,1,2,"Andy Pang","Feb 12, 2013"
GPL16653,"NimbleGen human 42M CGH array, 34 of 60 [2007-05-18_HG18_Sanger_CGH_34]","in situ oligonucleotide","Homo sapiens",716773,1,2,"Andy Pang","Feb 12, 2013"
GPL16654,"NimbleGen human 42M CGH array, 35 of 60 [2007-05-18_HG18_Sanger_CGH_35]","in situ oligonucleotide","Homo sapiens",707455,1,2,"Andy Pang","Feb 12, 2013"
GPL16655,"NimbleGen human 42M CGH array, 36 of 60 [2007-05-18_HG18_Sanger_CGH_36]","in situ oligonucleotide","Homo sapiens",716826,1,2,"Andy Pang","Feb 12, 2013"
GPL16656,"NimbleGen human 42M CGH array, 37 of 60 [2007-05-18_HG18_Sanger_CGH_37]","in situ oligonucleotide","Homo sapiens",715429,1,2,"Andy Pang","Feb 12, 2013"
