MM.Entrez,row,EffectSize,condition
11479,11479,-0.08737328297673841,Fluad_72_PBMC
11479,11479,-0.013905932286363942,Fluad_168_PBMC
11480,11480,0.05395364771018185,Fluad_4_PBMC
11480,11480,-0.21628983850780426,Fluad_8_PBMC
11480,11480,-0.22229492398657902,Fluad_24_PBMC
11480,11480,-0.048037685617011494,Fluad_48_PBMC
11480,11480,-0.32063355701159213,Fluad_72_PBMC
11480,11480,-0.0665902194726189,Fluad_168_PBMC
11481,11481,-0.06904963002592623,Fluad_4_PBMC
11481,11481,-0.13050308078669692,Fluad_8_PBMC
11481,11481,-0.3809450473275473,Fluad_24_PBMC
11481,11481,-0.07787254649868025,Fluad_48_PBMC
11481,11481,0.03236827293100397,Fluad_72_PBMC
11481,11481,0.04708932110618802,Fluad_168_PBMC
11482,11482,0.04085606430698663,Fluad_4_PBMC
11482,11482,0.04042159052634675,Fluad_8_PBMC
11482,11482,-0.06593092544450707,Fluad_24_PBMC
11482,11482,-0.08774899435374728,Fluad_48_PBMC
11482,11482,-0.07498974175959017,Fluad_72_PBMC
11482,11482,-0.07138286270474303,Fluad_168_PBMC
11484,11484,-0.09010805415004541,Fluad_4_PBMC
11484,11484,-0.14322490520994569,Fluad_8_PBMC
11484,11484,-0.23671384342612378,Fluad_24_PBMC
11484,11484,-0.140248542448834,Fluad_48_PBMC
11484,11484,0.1069368267984252,Fluad_72_PBMC
11484,11484,0.18667261936093849,Fluad_168_PBMC
11486,11486,0.011221019440912361,Fluad_4_PBMC
11486,11486,-0.014995394731555756,Fluad_8_PBMC
11486,11486,-0.07409315702973407,Fluad_24_PBMC
11486,11486,-0.04658003770711616,Fluad_48_PBMC
11486,11486,-0.05991988641128421,Fluad_72_PBMC
11486,11486,-0.04450984816352266,Fluad_168_PBMC
11487,11487,0.00454122477325658,Fluad_4_PBMC
11487,11487,0.051209127760385886,Fluad_8_PBMC
11487,11487,0.03598884438310446,Fluad_24_PBMC
11487,11487,0.02167663389763952,Fluad_48_PBMC
11487,11487,0.051550432775825605,Fluad_72_PBMC
11487,11487,0.009670863246550088,Fluad_168_PBMC
11488,11488,-0.0025924207387233444,Fluad_4_PBMC
11488,11488,0.04891232597327644,Fluad_8_PBMC
11488,11488,0.12394534210978891,Fluad_24_PBMC
11488,11488,0.0642783935344875,Fluad_48_PBMC
11488,11488,0.045019616904945714,Fluad_72_PBMC
11488,11488,-0.046321150295144164,Fluad_168_PBMC
11489,11489,0.047001022433632134,Fluad_4_PBMC
11489,11489,0.15544861793365872,Fluad_8_PBMC
11489,11489,0.14074891354491292,Fluad_24_PBMC
11489,11489,0.02991192625521677,Fluad_48_PBMC
11489,11489,0.0014058275668547004,Fluad_72_PBMC
11489,11489,0.030229189694958247,Fluad_168_PBMC
11490,11490,0.08320021019671664,Fluad_4_PBMC
11490,11490,0.008911240524361208,Fluad_8_PBMC
11490,11490,-0.025525858518521627,Fluad_24_PBMC
11490,11490,0.010181516426052362,Fluad_48_PBMC
11490,11490,-0.010410346698950246,Fluad_72_PBMC
11490,11490,0.014517533917416614,Fluad_168_PBMC
11491,11491,0.09434637441215354,Fluad_4_PBMC
11491,11491,0.004464623717821414,Fluad_8_PBMC
11491,11491,-0.07678878503999531,Fluad_24_PBMC
11491,11491,-0.029419487220433194,Fluad_48_PBMC
11491,11491,-0.12459113278456213,Fluad_72_PBMC
11491,11491,0.04501331926282148,Fluad_168_PBMC
11492,11492,0.032492938547208805,Fluad_4_PBMC
11492,11492,0.05994152240330353,Fluad_8_PBMC
11492,11492,0.1249908489301621,Fluad_24_PBMC
11492,11492,0.1308309224272488,Fluad_48_PBMC
11492,11492,0.1429235361818879,Fluad_72_PBMC
11492,11492,0.07432673302918502,Fluad_168_PBMC
11495,11495,-0.20476499383464075,Fluad_4_PBMC
11495,11495,0.08285740938954667,Fluad_8_PBMC
11495,11495,0.09737261380348472,Fluad_24_PBMC
11495,11495,-0.21209368782221283,Fluad_48_PBMC
11495,11495,-0.15353303678774344,Fluad_72_PBMC
11495,11495,-0.11150683726141519,Fluad_168_PBMC
11496,11496,-0.013445552193364296,Fluad_4_PBMC
11496,11496,-0.04183844270037573,Fluad_8_PBMC
11496,11496,-0.11367536157026414,Fluad_24_PBMC
11496,11496,-0.0787942203134886,Fluad_48_PBMC
11496,11496,0.22407044546562904,Fluad_72_PBMC
11496,11496,-0.16078438186666588,Fluad_168_PBMC
11500,11500,-0.1029639783001075,Fluad_4_PBMC
11500,11500,-0.279058446154429,Fluad_8_PBMC
11500,11500,-0.065625394899397,Fluad_24_PBMC
11500,11500,0.05111426129357444,Fluad_48_PBMC
11500,11500,-0.023666258835286946,Fluad_72_PBMC
11500,11500,-0.34808214010283844,Fluad_168_PBMC
11501,11501,0.13594445830857804,Fluad_4_PBMC
11501,11501,0.09994707681970416,Fluad_8_PBMC
11501,11501,0.04007994960890793,Fluad_24_PBMC
11501,11501,0.08071896471772666,Fluad_48_PBMC
11501,11501,0.02204604450379266,Fluad_72_PBMC
11501,11501,0.13191289421337737,Fluad_168_PBMC
11502,11502,0.05148509101357712,Fluad_4_PBMC
11502,11502,0.04451379947020895,Fluad_8_PBMC
